job_title,company_name,location,salary,work_hour
Model-e Data Engineer,Ford Motor Company,"Dearborn, MI",Estimated $92.2K - $117K a year,unknown
Data Hydration Engineer,Royal Bank of Canada,"Jersey City, NJ 07302 (Downtown area)","$130,000 a year",full-time
Senior Data Engineer,Aveva,"San Leandro, CA","$105,500 - $194,500 a year",full-time
Data Senior Engineer,City National Bank,"Los Angeles, CA","$101,231 - $172,355 a year",unknown
Sr Data Engineer,Citizens,"Johnston, RI 02919","$101,040 - $151,560 a year",full-time
NGS Data Quality Engineer,National Football League,"Remote in Inglewood, CA",Estimated $73.5K - $93K a year,part-time
"Data Engineer-Contract-Hybrid Role-Foster City, Ca",Nelson Interactive,"Foster City, CA",$75 - $80 an hour,contract
Data Engineer,Standard Biotools,"South San Francisco, CA","$126,277 - $148,200 a year",full-time
Data Engineer,MedWatchers,"San Diego, CA",Estimated $93.4K - $118K a year,full-time
Data Engineer,StoneX Group,"Chicago, IL 60604 (Loop area)",Estimated $110K - $139K a year,unknown
Sr. Data Analytics Engineer,Soothe,Remote,"$130,000 - $160,000 a year",unknown
Data Engineer,Cottingham & Butler,"Dubuque, IA",Estimated $84.1K - $107K a year,unknown
Data Engineer,SS&C,"Remote in San Francisco, CA","$141,000 - $153,000 a year",full-time
Data Engineer,Loudoun County Public Schools,"Hybrid remote in Loudoun County, VA","$74,325 - $128,195 a year",full-time
Data Engineer,Uline,"Pleasant Prairie, WI 53158",Estimated $96.6K - $122K a year,full-time
Data Engineer,Palni,"McKinney, TX 75070",Estimated $90.4K - $114K a year,full-time
Data Engineer,Smart Care Solutions,"Saint Paul, MN 55102 (Downtown area)",Estimated $102K - $129K a year,full-time
Data Engineer,Stake Center Locating,"Greensboro, NC 27409",Estimated $76.4K - $96.7K a year,unknown
Senior Data Engineer - Data Extraction and Warehousing,Cornerstone Information System,"Bloomington, IN 47404",Estimated $108K - $137K a year,unknown
Data Engineer,Palni,"McKinney, TX 75070",Estimated $90.4K - $114K a year,full-time
Senior Data Engineer - Data Extraction and Warehousing,Cornerstone Information System,"Bloomington, IN 47404",Estimated $108K - $137K a year,unknown
Data Engineer,Smart Care Solutions,"Saint Paul, MN 55102 (Downtown area)",Estimated $102K - $129K a year,full-time
Data Engineer,Stake Center Locating,"Greensboro, NC 27409",Estimated $76.4K - $96.7K a year,unknown
Data Engineer II,Amazon.com Services LLC,"Seattle, WA","From $105,700 a year",full-time
"Data Engineer, Entry Level",Oak Ridge National Laboratory,"Oak Ridge, TN 37830",Estimated $69.4K - $87.9K a year,unknown
Data Engineer,Fontainebleau Las Vegas,"Las Vegas, NV 89109 (The Strip area)","$72,000 - $102,000 a year",full-time
Data Engineer,Little Caesars,"Detroit, MI",unknown,unknown
Data Engineer,"Interface, Inc.","Hybrid remote in Atlanta, GA",Estimated $95.8K - $121K a year,full-time
Sr. Data Engineer,Tek Ninjas,"Cincinnati, OH 45201",$63 - $65 an hour,unknown
Data Engineer,CONAGRA,"Hybrid remote in Chicago, IL 60654",Estimated $87.4K - $111K a year,full-time
Data Engineer,UCLA Health,"Los Angeles, CA 90095",Estimated $145K - $183K a year,unknown
AES Data Engineer,Analog Devices,"Boston, MA",Estimated $103K - $130K a year,full-time
Data Engineer,ArchWell Health,"Remote in Nashville, TN 37205",Estimated $109K - $138K a year,full-time
Senior Data Engineer,Shutterfly,"Tempe, AZ 85283",Estimated $118K - $149K a year,full-time
Data Engineer,Humana,"Remote in Louisville, KY 40202",unknown,full-time
RCIT Data Network Engineer lll,County of Riverside,"Riverside, CA",Estimated $83.4K - $106K a year,unknown
Data and Reporting Engineer,Dividend,Remote in Illinois,"$76,000 - $152,400 a year",full-time
Senior Data Engineer,Curology,Remote,"$150,000 - $190,000 a year",full-time
Data Engineer | TS(SCI Eligible),Connect Talent Solutions,"Springfield, VA 22150",Estimated $126K - $160K a year,contract
Professional Big Data Software Engineer,AT&T,"New York, NY","$140,100 - $210,100 a year",full-time
Sr. Data Engineer,Messari,Remote,"$158,000 - $186,000 a year",unknown
Data Science & Machine Learning Engineer,Resonate,"Hybrid remote in Reston, VA 20190",Estimated $110K - $140K a year,full-time
Big Data Platform Engineer,Apple,"Cupertino, CA",unknown,full-time
Azure Data Engineer - All Levels (REMOTE),GEICO,"Remote in Chevy Chase, MD 20815","$72,000 - $236,500 a year",full-time
Modeling Data Engineer,VA Dept of Transportation,"Richmond, VA","$72,738 - $118,200 a year",full-time
Senior Data Engineer (Remote),Home Depot / THD,"Remote in Atlanta, GA 30301","$170,000 a year",unknown
Data Warehouse Software Engineer,Ford Motor Company,"Dearborn, MI 48126",Estimated $96.2K - $122K a year,full-time
Data Science Engineer,Garner Health,"Remote in New York, NY","$110,000 - $145,000 a year",unknown
IT Data Engineer Operations (REMOTE),Fulton Bank,"Lancaster, PA 17601",unknown,full-time
mgr engineer - Data Engineering,Starbucks,"Seattle, WA 98134 (Industrial District area)",unknown,full-time
Azure Data Engineer,Epicor,"Remote in San Francisco Bay Area, CA","$70,000 - $180,000 a year",unknown
Sr Data Engineer,Lowe's,"Charlotte, NC 28203 (Wilmore area)","$72,800 - $170,000 a year",full-time
Senior Data Engineer,SLRI Solutions,"Katy, TX 77450",Estimated $117K - $149K a year,full-time
BI Data Engineer,Johnson Brothers Liquor Co,Remote,Estimated $92.3K - $117K a year,full-time
Data Engineer – R01526767,Brillio,"San Ramon, CA 94583",Estimated $128K - $162K a year,unknown
Data Engineer (remote),Guardian Industries,Remote in Virgin Islands,Estimated $101K - $128K a year,unknown
Data Infrastructure Engineer,Tasktoday,"Newark, CA",Estimated $117K - $148K a year,unknown
Data Science Engineer,Cenlar FSB,"O'Fallon, MO 63368",Estimated $87.3K - $111K a year,full-time
"Sr. Data Engineer, Finance Products",Squarespace,"New York, NY 10014 (West Village area)","$118,000 - $231,500 a year",unknown
Senior Data Engineer,Kandji,"San Francisco, CA",Estimated $130K - $165K a year,full-time
Data Engineer,Veeva Systems,"Remote in Fort Washington, PA",Estimated $101K - $127K a year,unknown
Jr Data Engineer & Developer - SQL | ETL | PL/SQL - Top Secret or TS/SCI,Deloitte,"Rosslyn, VA 22209 (Radnor-Ft Myer Heights area)",Estimated $95.6K - $121K a year,full-time
"Junior Data Engineer - Boston, MA",Deloitte,"Boston, MA 02116 (Back Bay area)",Estimated $71.2K - $90.2K a year,full-time
Data Engineer - Hadoop / ETL,M&T Bank,"Hybrid remote in Wilmington, DE",unknown,full-time
Sr Data Engineer- Remote,UnitedHealth Group,"Remote in Alton, IL 62002",Estimated $124K - $157K a year,full-time
Data Engineer,Capgemini,"New York, NY 10003 (Flatiron area)",Estimated $109K - $138K a year,full-time
Staff Data Engineer,NVIDIA,"Santa Clara, CA","$160,000 - $304,750 a year",full-time
"Process Engineer, Autopilot Data Annotation",Tesla,"Palo Alto, CA",Estimated $101K - $128K a year,full-time
Senior Data Engineer,Salt River Project,"Hybrid remote in Phoenix, AZ 85004",Estimated $99.5K - $126K a year,unknown
Data Engineer (f/m/d),Körber,Remote,Estimated $97.5K - $123K a year,unknown
Data Engineer (L4) - Games,Netflix,California,Estimated $107K - $136K a year,unknown
Senior Data Engineer,MGIC,"Hybrid remote in Milwaukee, WI 53202",Estimated $106K - $134K a year,full-time
Tableau Administrator/Lead Data Engineer,Consolidated Nuclear Security,"Oak Ridge, TN",Estimated $101K - $128K a year,unknown
Senior Data Engineer,Virginia Tech,"Remote in Blacksburg, VA",Estimated $88.1K - $112K a year,day shift
Data Lake Engineer,CIMCON Digital,"Westford, MA 01886",Estimated $112K - $142K a year,unknown
Data Engineer/Senior Data Engineer,C3 AI,"Redwood City, CA","$85,000 - $161,000 a year",unknown
Data Engineer,HNI Corporation,"Muscatine, IA 52761",Estimated $78K - $98.8K a year,full-time
Data Engineer (Starlink),SpaceX,"Redmond, WA 98052 (SE Redmond area)","$120,000 - $145,000 a year",unknown
Data Engineer,USC,"Hybrid remote in Los Angeles, CA","$96,739 - $110,000 a year",unknown
Senior Data Engineer,Ampion,"Bar Harbor, ME",Estimated $107K - $136K a year,unknown
Senior Data Center Infrastructure Engineer,Pennsylvania Turnpike Commission,"Hybrid remote in King of Prussia, PA 19406","$76,336 - $114,504 a year",full-time
Data Engineer,MassMutual,"Boston, MA 02124 (South Dorchester area)",Estimated $122K - $155K a year,full-time
Senior Data Engineer,"RealPage, Inc.","Seattle, WA 98109 (Westlake area)","$187,000 - $190,300 a year",full-time
Data Engineer,RADcube,"Cincinnati, OH",Estimated $96.5K - $122K a year,contract
IT - Python Data Engineer III - IV (Remote),The Cincinnati Insurance Companies,Remote,Estimated $95.4K - $121K a year,unknown
Data Engineer (Azure),CloudSufi,California,Estimated $118K - $149K a year,full-time
Azure Data Engineer,DHL eCommerce,Remote,"$95,880 - $135,360 a year",unknown
"Sr Software Engineer - Data Sciences Platform (Java, Spring, Microservices)",TARGET,"Brooklyn Park, MN 55445 (Oak Grove area)","$83,800 - $150,800 a year",full-time
"Data Engineer, Senior",Toyota,"Plano, TX 75024",Estimated $118K - $150K a year,full-time
"Data Engineer, Data Engineering",PepsiCo,"Plano, TX 75024","$130,562 - $190,000 a year",full-time
Junior Data Engineer,Decision Point Healthcare,"Boston, MA 02109 (Downtown area)",Estimated $80.5K - $102K a year,full-time
Infrastructure Engineer/Data Center Engineer,Intone Networks,"Caledonia, MI",Estimated $106K - $135K a year,contract
Data Engineer,MetaPhase Consulting,"Reston, VA 20190",Estimated $114K - $145K a year,unknown
Data Engineer,"iHeartMedia, Inc.","New York, NY 10019 (Midtown area)",Estimated $83.8K - $106K a year,full-time
Azure Data Engineer,grow.com,"Remote in Albany, NY","$70,000 - $180,000 a year",unknown
GCP Data Engineer,Ora Apps,"Hybrid remote in Dallas, TX 75201",$100 an hour,full-time
Data Engineer,2ULaundry,"Charlotte, NC",Estimated $82.7K - $105K a year,full-time
Data Analytics Engineer,Microsoft,"Redmond, WA 98052 (Overlake area)","$80,900 - $162,200 a year",full-time
Data Engineer,RFA Engineering,"Des Moines, IA","$70,000 - $100,000 a year",full-time
Data Engineer,Codoxo,"Duluth, GA",Estimated $87.5K - $111K a year,full-time
Data Pipeline Engineer,"iSpecimen, Inc.","Lexington, MA 02420","$90,000 - $120,000 a year",full-time
Sr Data Engineer,Citizens,"Johnston, RI 02919","$101,040 - $151,560 a year",full-time
Data Engineer,Standard Biotools,"South San Francisco, CA","$126,277 - $148,200 a year",full-time
Data Engineer,MedWatchers,"San Diego, CA",Estimated $93.4K - $118K a year,full-time
Data Engineer,FiberSense,"Hybrid remote in Oakland, CA","$141,000 - $155,000 a year",unknown
Data Engineer,"Gandara Mental Health Center, Inc.","Springfield, MA 01105 (Maple High-Six Corners area)",Estimated $75.2K - $95.2K a year,full-time
Intermediate Data Engineer,Geneva College,"Beaver Falls, PA 15010",Estimated $67.2K - $85.1K a year,full-time
Sr. Category Analyst - Data Engineer,Ghirardelli Chocolate Company,"Rogers, AR 72758",Estimated $102K - $130K a year,unknown
Data Engineer,StoneX Group,"Chicago, IL 60604 (Loop area)",Estimated $110K - $139K a year,unknown
Data Engineer,Johnson & Johnson,"Danvers, MA",Estimated $85.8K - $109K a year,unknown
Data Center Network Engineer,Azzurra Solutions LLC,"Hillsboro, OH 45133",From $45 an hour,contract
Data Engineer (Python),ZIRLEN TECHNOLOGIES INCORPORATED,"Philadelphia, PA 19019 (Somerton area)",Estimated $114K - $144K a year,full-time
Data Engineer,Brigham Young University,"Provo, UT 84602 (University area)","$92,500 - $120,500 a year",full-time
Microsoft SQL Data Engineer,CrossAmerica Partners,"Allentown, PA 18101 (Downtown area)",Estimated $85K - $108K a year,full-time
"Full Stack Engineer, Autopilot Data Annotation",Tesla,"Palo Alto, CA",Estimated $123K - $155K a year,full-time
Data Science - Software Engineer,Plaxonic Technologies,"Austin, TX",$50 - $60 an hour,contract
Data Engineer,Fracsys Inc,"Washington, DC","From $96,337 a year",full-time
Data Engineer III,Staples,"Lincolnshire, IL 60069",Estimated $105K - $132K a year,full-time
Data Engineer Contract (Part Time),INEXL Consulting,Remote,From $45 an hour,part-time
Senior Data Engineer,nZero,"Seattle, WA",Estimated $127K - $161K a year,unknown
Data Engineer- Hadoop,Data Inc,"Hybrid remote in Charlotte, NC 28203",$63 - $66 an hour,contract
Data Engineer,Databricks,"San Francisco, CA 94105 (Financial District/South Beach area)",Estimated $125K - $159K a year,unknown
Data Engineer III – Hybrid,Zillion Technologies,"St. Louis, MO 63103",$70 - $75 an hour,full-time
SQL Server Data Engineer,Anblicks,"Dallas, TX 75254 (Far North area)",Estimated $83.1K - $105K a year,contract
Data Engineer,Stytch,"New York, NY","$150,000 - $300,000 a year",full-time
Data Engineer,"Buyers Edge Platform, LLC","Remote in Lake Worth, FL",Estimated $88.5K - $112K a year,unknown
Data Engineer,Triwave Solutions,"Westlake, OH",$60 an hour,unknown
Data Center Network Engineer,Encore Technologies,"Hybrid remote in Cincinnati, OH 45206",$50 - $65 an hour,full-time
Mid-Level Data Engineer (AWS),Blueprint Technologies,Remote,"$79,000 - $130,000 a year",unknown
Data Engineer,PMI,"Seattle, WA 98121 (Belltown area)","$95,000 - $130,000 a year",full-time
"Engineer, Data",Ayar Labs,"San Jose, CA","$115,000 - $142,000 a year",unknown
Senior Data Engineer,Otomashen Inc,"Atlanta, GA 30303 (Downtown area)",$70 - $71 an hour,contract
Data Engineer/Data Warehouse Engineer,ProIT Inc.,"Hybrid remote in Cupertino, CA 95014","$110,409 - $130,418 a year",full-time
Senior Data Engineer,Global Tunnels,"Hybrid remote in Washington, DC 20032","From $100,000 a year",full-time
Data Engineer,Atomic,Remote,"$125,000 - $150,000 a year",full-time
Data Engineer,ComResource,"Columbus, OH 43215 (Grandview South area)",Estimated $109K - $138K a year,unknown
Data Engineer: III (Senior) - Hybrid,Biogensys,"Dallas, TX",$50 - $65 an hour,full-time
Sr Data Engineer/data architect,Devcare Solutions,"Columbus, OH",$70 - $90 an hour,contract
Big Data Engineer,Alt Shift USA,"Dallas, TX",Estimated $115K - $146K a year,contract
Data Engineer,Sky Consulting Inc,"Chicago, IL",Estimated $121K - $154K a year,unknown
Data Engineer,American Power & Gas,"Clearwater, FL",Estimated $73.8K - $93.4K a year,full-time
Data Visualization Engineer,The Hershey Company,"Remote in Hershey, PA",Estimated $102K - $129K a year,unknown
Data Engineer,BMS CAT,"Haltom City, TX 76117",Estimated $86.8K - $110K a year,unknown
Senior Data Engineer,"Rocky Brands, Inc.","Nelsonville, OH 45764",Estimated $89.6K - $113K a year,full-time
"Senior Data Engineer (AWS, Python)",DSMH LLC,Remote,$60 - $65 an hour,contract
Senior Data Engineer,Berkadia,"Hybrid remote in Midvale, UT 84047",Estimated $108K - $136K a year,unknown
Data Engineer,NYC Health + Hospitals,"New York, NY","$90,000 - $130,000 a year",full-time
Data Engineer,Sephora,"San Francisco, CA 94105 (Financial District/South Beach area)","$141,000 - $155,000 a year",full-time
Data Engineer/Data Warehouse Engineer,proit-inc,"Cupertino, CA","$100,000 - $130,000 a year",full-time
Data Engineer ($145K + Benefits)!,Jarvis Recruitment Group,Washington State,"$100,000 - $145,000 a year",full-time
Sr Data Network Engineer,Samjose Infotech,"New York, NY 10004 (Financial District area)",Estimated $101K - $128K a year,contract
Data Engineer,Govini,"Pittsburgh, PA",Estimated $104K - $132K a year,full-time
Senior Data Engineer,Aroopa,Remote in Texas,Estimated $118K - $149K a year,full-time
Senior Data Engineer,Humu,"Mountain View, CA","$160,000 - $220,000 a year",unknown
Ab Initio Data Engineer,"The Travelers Companies, Inc.","Saint Paul, MN 55127","$102,600 - $169,200 a year",full-time
Data Engineer,Centriam,"Minneapolis, MN 55447",Estimated $96.2K - $122K a year,unknown
Data Engineer,Zoox,"Foster City, CA","$143,000 - $300,000 a year",full-time
BI Data & Visualization Engineer 1,G&J Pepsi-Cola Bottlers,"Columbus, OH 43219 (Devon Triangle area)",Estimated $52.2K - $66.1K a year,unknown
Senior Data Engineer,Omnidian,"Remote in Seattle, WA","$125,000 - $155,000 a year",full-time
Staff Data Platform Engineer,Adobe,"San Jose, CA 95110 (Downtown area)","$146,400 - $275,000 a year",full-time
"Data Engineer II, DevX -Dallas, Austin, or San Antonio, TX",H-E-B,"Dallas, TX 75220 (Northwest Dallas area)",Estimated $78.6K - $99.6K a year,full-time
Data Engineer,Apple,"Austin, TX",unknown,unknown
Tech Lead Software Engineer - Data Lake,Southwest Airlines,"Dallas, TX 75235 (Northwest Dallas area)","From $151,400 a year",full-time
Senior Data Engineer,First American Financial Corporation,"Remote in Santa Ana, CA","$155,000 - $225,000 a year",unknown
Building Engineer -Data Center,ISS Facility Services (US),"Piscataway, NJ 08854",$46.16 an hour,full-time
Data Engineer,Surya Systems,"Remote in San Francisco, CA",$70 an hour,unknown
"Data Engineer, Product Analytics - Monetization",Meta,Remote,"$134,000 - $194,000 a year",unknown
"Co-op, Data Engineer",Exo Therapeutics,"Cambridge, MA",Estimated $102K - $129K a year,unknown
Data Engineer,GEI Consultants Inc,"Hybrid remote in Woburn, MA 01801",$33.65 - $72.11 an hour,unknown
"Data Engineer- (Hybrid)- USA, San Mateo, CA- (Local Candidates only)",Guidewire Software,"Hybrid remote in San Mateo, CA","$132,000 - $198,000 a year",full-time
Sr. Data Engineer (Remote),Adventist Health,"Remote in Roseville, CA 95661","$94,083 - $141,125 a year",unknown
Senior Data Engineer,Kikoff,"Hybrid remote in San Francisco, CA",Estimated $142K - $180K a year,full-time
Data Engineer,"Park Place Technologies, LLC","Cleveland, OH 44124",Estimated $78.7K - $99.7K a year,full-time
Junior Data Engineer,Haslam Sports Group,"Berea, OH 44017",Estimated $55K - $69.6K a year,full-time
Data Integration Engineer(Banking),ASA,"New York, NY 10020 (Midtown area)",$100 - $103 an hour,contract
Senior Data Engineer,"University of California, Riverside","Riverside, CA 92521 (University area)","$93,400 - $177,200 a year",full-time
Data Engineer,Fanatics,"Los Angeles, CA","$110,000 - $170,000 a year",unknown
Sr Cloud Data Engineer,"IT Engagements,Inc.","Dallas, TX",From $65 an hour,full-time
Senior Big Data Engineer,DIRECTV,"El Segundo, CA 90245","$169,520 - $211,255 a year",unknown
Sr. SAP HANA Data Analytics Engineer,Guddge,"Hybrid remote in Los Angeles, CA 90013",From $90 an hour,full-time
Data Engineer,Octaura LL TradingCo LLC,"Hybrid remote in New York, NY","$140,000 - $170,000 a year",full-time
"Data Engineer, Sr",Spectrum Health,"Grand Rapids, MI 49503 (Heritage Hill area)",Estimated $112K - $141K a year,full-time
146-Secure Data Center Network Engineer (Cisco CLI and ACI),The Norland Group,"Downey, CA",$43 an hour,full-time
Data Engineer,Hermitage Infotech,"Cupertino, CA",Estimated $113K - $143K a year,unknown
Data Platform Engineer,GSK,"South San Francisco, CA 94080","$115,974 - $156,906 a year",unknown
Data /Software Engineers,Ars Quanta,"Seattle, WA",Estimated $118K - $149K a year,full-time
Data Engineer,Farm Credit East,"Enfield, CT 06082",Estimated $83.8K - $106K a year,full-time
Data Engineer,HealthVerity,"Hybrid remote in Philadelphia, PA",Estimated $111K - $140K a year,full-time
Senior Data Engineer,"Surescripts, LLC","Hybrid remote in Minneapolis, MN 55402","$119,633 - $146,218 a year",full-time
Data Engineer - Officer - NY/NJ - Hybrid (HM),Citi,"Rutherford, NJ","$92,570 - $129,150 a year",full-time
Senior Data Science Engineer,Adobe,"San Jose, CA 95110 (Downtown area)","$140,200 - $261,400 a year",full-time
Data Engineer,Bon Secours Mercy Health,"Cincinnati, OH 45237 (Roselawn area)",Estimated $81.1K - $103K a year,unknown
Senior Associate Data Engineer (multiple openings) - IHM,Discover Financial Services,"Riverwoods, IL 60015",Estimated $78.1K - $98.9K a year,full-time
Data Engineer,Drivetrain AI,Remote,Estimated $96.1K - $122K a year,full-time
Data Engineer,Intone Networks,Remote,Estimated $110K - $139K a year,contract
Data Engineer IV,Iron Systems,"Fremont, CA 94539 (East Industrial area)",$80 an hour,unknown
Data Engineer,Mizuho Americas,"New York, NY","$104,000 - $150,000 a year",full-time
Data Engineer,Macquarie Group Limited,"Philadelphia, PA 19106 (Old City area)",Estimated $121K - $153K a year,full-time
"Network Engineer, Data Center",Tesla,"Fremont, CA",Estimated $98.5K - $125K a year,full-time
Senior Data Engineer,OneGlobe LLC,"Washington, DC",Estimated $134K - $170K a year,unknown
Data Engineer,Miracle Software Systems,Colorado,Estimated $107K - $135K a year,contract
Data Engineer,Treeswift,"Philadelphia, PA 19129 (Alleghany West area)",Estimated $108K - $137K a year,full-time
Data Engineer (multiple openings) - IHM,Discover Financial Services,"Riverwoods, IL 60015",Estimated $70.5K - $89.3K a year,full-time
Data Engineer,Fairwinds Credit Union,"Orlando, FL 32826","From $80,000 a year",full-time
Data Engineer,Appriss Retail,Remote,$50 - $55 an hour,unknown
Data Engineer Analyst,North Carolina Dept of Revenue,North Carolina,"$65,604 - $98,407 a year",full-time
Data Engineer II,Freeport McMoRan,"Remote in Phoenix, AZ 85004",Estimated $97.3K - $123K a year,unknown
4282-Software Engineer (Data),Effectv,"Wayne, PA 19087",unknown,unknown
Data Engineer,360insights,"New Orleans, LA",Estimated $88.9K - $113K a year,full-time
Azure Applied Data Engineer,MidFirst Bank,"Oklahoma City, OK 73118",Estimated $95.2K - $121K a year,full-time
Senior Data Engineer,Headway.co,Remote,Estimated $120K - $152K a year,unknown
Senior Data Engineer,Resilience,"San Diego, CA 92121 (Torrey Pines area)","$155,397 - $178,300 a year",full-time
Energy Fleet Data Engineer,Tesla,"Palo Alto, CA",Estimated $103K - $131K a year,full-time
Data Engineer,Octo,"Chantilly, VA 20151",Estimated $116K - $147K a year,unknown
Data Engineer,Munich Re America,"New York, NY","$86,900 a year",unknown
Data Engineer I,VirginPulse,Remote,"Up to $80,000 a year",full-time
Data Engineer Senior,Technology Ventures,"McLean, VA 22102",Estimated $121K - $154K a year,contract
"Fullstack Software Engineer, Global E-Commerce Data Intelligence",TikTok,"Seattle, WA","$129,200 - $194,750 a year",unknown
Systems Engineer- Collibra Data Intelligence (REMOTE),GEICO,"Remote in Chevy Chase, MD 20815","$72,000 - $138,000 a year",full-time
Data Engineer,Radiance Technologies,"Suitland, MD",Estimated $94.7K - $120K a year,full-time
Senior Data Platform Engineer,Wawa,"Wawa, PA",Estimated $111K - $141K a year,full-time
Data Engineer,Current Job Openings at Revionics,"Remote in Atlanta, GA","$75,000 - $95,000 a year",unknown
DATA CENTER SYSTEMS ENGINEER I,The University of Texas Rio Grande Valley,"Edinburg, TX",Estimated $50.2K - $63.6K a year,full-time
Data Engineer,Blancas Sandoval & Associates. PA,"Miami, FL",Estimated $84.2K - $107K a year,full-time
Senior Data Engineer,Koniku Inc.,"San Rafael, CA","$100,000 - $180,000 a year",unknown
Senior Data & Analytics Engineer (Remote),WCG,"Remote in Princeton, NJ 08540","$77,600 - $108,500 a year",full-time
"Data Pipelines Software Engineer, Battery Automation Software",Tesla,"Fremont, CA",Estimated $101K - $128K a year,full-time
Data Engineer - 100% Remote,Radian,Remote in Pennsylvania,"$90,000 - $137,900 a year",full-time
Data Engineer,ASSURANCE,"Seattle, WA 98155","$130,000 - $170,000 a year",full-time
"Data Engineer-Contract-Hybrid Role-Foster City, Ca",Nelson Interactive,"Foster City, CA",$75 - $80 an hour,contract
Data Engineer,Standard Biotools,"South San Francisco, CA","$126,277 - $148,200 a year",full-time
Data Engineer,Red Rock Behavioral Health Services,Remote,Estimated $76.4K - $96.8K a year,contract
Data Engineer,MedWatchers,"San Diego, CA",Estimated $93.4K - $118K a year,full-time
Data Engineer,FiberSense,"Hybrid remote in Oakland, CA","$141,000 - $155,000 a year",unknown
Sr. Data Visualization Engineer (Remote),Mercury Insurance,"Remote in Brea, CA 92821","$100,076 - $189,657 a year",full-time
Data Engineer,"Gandara Mental Health Center, Inc.","Springfield, MA 01105 (Maple High-Six Corners area)",Estimated $75.2K - $95.2K a year,full-time
Data Engineer - Python,Ampcus Incorporated,Remote,Estimated $101K - $128K a year,contract
"Engineer, Data Science",Armoire,Hybrid remote,"$100,000 - $120,000 a year",full-time
IT Data Engineer,Millennium Physician Group,"Fort Myers, FL 33907",Estimated $73.4K - $92.9K a year,full-time
Data Engineer,StoneX Group,"Chicago, IL 60604 (Loop area)",Estimated $110K - $139K a year,unknown
Senior Data Engineer,"Link Technologies, Inc.","Las Vegas, NV","$64,134 - $178,786 a year",contract
"CyberSecurity Data Loss Prevention Engineer, Analyst - Hybrid - Irving, TX/ Jersey City, NJ/ Tempe, AZ",MUFG,"Hybrid remote in Jersey City, NJ","$90,000 - $115,000 a year",full-time
Sr. Category Analyst - Data Engineer,Ghirardelli Chocolate Company,"Rogers, AR 72758",Estimated $102K - $130K a year,unknown
Intermediate Data Engineer,Geneva College,"Beaver Falls, PA 15010",Estimated $67.2K - $85.1K a year,full-time
NextGen Data Engineer,BICP,"Portland, OR",Estimated $92.9K - $118K a year,unknown
PARADIM Data Engineer,Johns Hopkins University,"Baltimore, MD 21218 (Johns Hopkins Homewood area)","$124,510 a year",full-time
Senior Data Engineer,Solect,"San Francisco, CA","$95,000 - $129,000 a year",full-time
DATA ENGINEER III,Yum! Brands,"Hybrid remote in Irvine, CA","$89,800 - $116,270 a year",unknown
Senior Data Engineer - Remote,High5,Remote in New York State,$48 - $57 an hour,contract
Senior Data Engineer - Healthgrades,RVO Health,"Remote in Denver, CO","$120,000 - $190,000 a year",full-time
Lead Engineer - Data Ops,United Airlines,"Chicago, IL",unknown,full-time
Federal - Jr. Data Engineer,Accenture,"Remote in Arlington, VA",unknown,full-time
Data Engineer,Spectrum Communications & Consulting Inc.,"Hybrid remote in Chicago, IL",Estimated $94.1K - $119K a year,full-time
SENIOR STAFF DATA ENGINEER,Karius,"Redwood City, CA","$180,000 - $240,000 a year",full-time
BI Data Engineer,Hollstadt & Associates,Remote,Estimated $109K - $138K a year,unknown
Advanced Data Engineer,Honeywell,"Atlanta, GA 30308 (Midtown area)",Estimated $117K - $148K a year,unknown
Data Engineer/Data Scientist,Ampcus Incorporated,"Richmond, VA",Estimated $108K - $136K a year,contract
Data Engineer,ScienceSoft USA Corporation,"Dallas, TX",Estimated $93.1K - $118K a year,unknown
Senior Big Data Engineer,Faraday Future,"San Jose, CA","$130,000 - $160,000 a year",unknown
Data Engineer,Smart Care Solutions,"Saint Paul, MN 55102 (Downtown area)",Estimated $102K - $129K a year,full-time
Data Engineer,Stake Center Locating,"Greensboro, NC 27409",Estimated $76.4K - $96.7K a year,unknown
"Data Engineer @ Nashua, NH (ONNSITE-HYBRID)",SK VedaInfo Universal Technologies Pvt. Ltd.,"Nashua, NH 03060","$100,000 - $130,000 a year",full-time
"Data Engineer, Cloud Ops","Presidio Networked Solutions, LLC","Hauppauge, NY 11788",Estimated $92.5K - $117K a year,full-time
Data Engineer II,Amazon.com Services LLC,"Seattle, WA","From $105,700 a year",full-time
"Data Engineer, Entry Level",Oak Ridge National Laboratory,"Oak Ridge, TN 37830",Estimated $69.4K - $87.9K a year,unknown
Lead Data Engineer - Healthcare,SprintSoft Technologies Inc,"Detroit, MI 48233 (West Side Industrial area)",$70 - $80 an hour,contract
Data Engineer,Fontainebleau Las Vegas,"Las Vegas, NV 89109 (The Strip area)","$72,000 - $102,000 a year",full-time
Senior Data Engineer,Trella Health,"Remote in Philadelphia, PA",Estimated $116K - $147K a year,unknown
Sr. Data Engineer,Smart Tech,"Hybrid remote in Bloomfield, CT 06002","$96,298 - $103,150 a year",full-time
Data Analytics Engineer,Proits Hub LLC,Remote,Up to $60 an hour,contract
Data Center Field Engineer,Advantage Technical,"Albany, NY 12203 (Campus Area-University District area)",$20 - $25 an hour,contract
Data Engineer,"Titan America, LLC.","Roanoke, VA","$75,000 - $87,000 a year",full-time
Data Engineer,Little Caesars,"Detroit, MI",unknown,unknown
